Gene Name	Accession-1	Product	Accession-2	Pathways of gene	Ontology - pathway type
PMM0590	PMM0590	glutamate-5-semialdehyde dehydrogenase	TX50_RS03145	L-proline biosynthesis I (from L-glutamate)	Amino Acid Biosynthesis
leuA	PMM1066	2-isopropylmalate synthase	TX50_RS05725	superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis	Superpathways // Amino Acid Biosynthesis
rnhA	PMM0200	ribonuclease HI	TX50_RS01035		
trmD	PMM1280	tRNA (guanosine(37)-N1)-methyltransferase TrmD	TX50_RS09360		
ndhL	PMM0570	ferredoxin-quinone oxidoreductase subunit L	TX50_RS03045	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
PMM1049	PMM1049	periplasmic oligopeptidee-binding protein	TX50_RS05640		
dgkA	PMM0183	diacylglycerol kinase	TX50_RS00950		
uvrA	PMM1712	excinuclease ABC subunit UvrA	TX50_RS09140		
csoS3	PMM0553	carboxysomal carbonic anhydrase	TX50_RS02955		
PMM1021	PMM1021	pilus assembly protein	TX50_RS05475		
purE	PMM0167	5-(carboxyamino)imidazole ribonucleotide mutase	TX50_RS00870	inosine-5'-phosphate biosynthesis I	Nucleoside and Nucleotide Biosynthesis
cysG	PMM1694	Uroporphyrin-III c-methyltransferase	TX50_RS09045	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation) // siroheme biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis // Tetrapyrrole Biosynthesis
accA	PMM0534	acetyl-CoA carboxylase carboxyltransferase subunit alpha	TX50_RS02860	biotin-carboxyl carrier protein assembly // fatty acid biosynthesis initiation (type II)	Fatty Acid and Lipid Biosynthesis
PMM0989	PMM0989	AAA family ATPase	TX50_RS05275		
ndhD1	PMM0150	ferredoxin-quinone oxidoreductase subunit D1	TX50_RS00785	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
PMM1676	PMM1676	DUF98 domain-containing protein	TX50_RS08950		
PMM0516	PMM0516	CPBP family intramembrane metalloprotease	TX50_RS02770		
ureF	PMM0968	urease accessory protein UreF	TX50_RS05150		
zntA	PMM0131	P-type cation transporter	TX50_RS00690		
clpX	PMM1657	Clp protease chaperone/ATPase component ClpX	TX50_RS08855		
priA	PMM0497	primosomal protein N'	TX50_RS02675		
carA	PMM0951	Carbamoylphosphate synthase small subunit	TX50_RS05060	L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent) // superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // L-arginine biosynthesis II (acetyl cycle) // UMP biosynthesis I // L-arginine biosynthesis I (via L-ornithine) // L-citrulline degradation // urea cycle	Amino Acid Degradation // Aminoacyl-tRNA Charging // Amino Acid Biosynthesis // Superpathways // Nucleoside and Nucleotide Biosynthesis // Inorganic Nutrient Metabolism
PMM0106	PMM0106	6-pyruvoyltetrahydropterin synthase	TX50_RS00565	erythro-tetrahydrobiopterin biosynthesis I	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1641	PMM1641	GtrA family protein	TX50_RS08770		
map	PMM0477	type I methionyl aminopeptidase	TX50_RS02570		
PMM0931	PMM0931	DUF3082 domain-containing protein	TX50_RS04965		
trkA	PMM0085	TrkA potassium uptake protein	TX50_RS00450		
dedA	PMM1624	Putative alkaline phosphatase-like protein	TX50_RS08685		
PMM0458	PMM0458	helix-turn-helix domain-containing protein	TX50_RS02465		
PMM0914	PMM0914	biotin transporter BioY	TX50_RS04880		
def	PMM0068	peptide deformylase	TX50_RS00360		
ndhS	PMM1604	ferredoxin-quinone oxidoreductase subunit S	TX50_RS08585	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
cobT	PMM0439	nicotinate-nucleotide&mdash;dimethylbenzimidazole phosphoribosyltransferase	TX50_RS02365	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0898	PMM0898	2Fe-2S iron-sulfur cluster binding domain-containing protein	TX50_RS04800		
thiO	PMM0047	glycine oxidase	TX50_RS00250	superpathway of thiamine diphosphate biosynthesis II // thiazole component of thiamine diphosphate biosynthesis II	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis
PMM1581	PMM1581	Mrp/NBP35 family ATP-binding protein	TX50_RS08465		
PMM0422	PMM0422	RNA methyltransferase	TX50_RS02270		
uvrC	PMM0882	excinuclease ABC subunit UvrC	TX50_RS04715		
accB	PMM0027	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	TX50_RS00150		
recA	PMM1562	recombinase RecA	TX50_RS08365		
queA	PMM0406	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	TX50_RS02185	queuosine biosynthesis I (<i>de novo</i>)	Nucleic Acid Processing
cobP	PMM0863	adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase	TX50_RS04620	adenosylcobinamide-GDP salvage from cobinamide I // adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	Cofactor, Carrier, and Vitamin Biosynthesis
ftsY	PMM0010	signal recognition particle-docking protein FtsY	TX50_RS00065		
rpsH	PMM1545	30S ribosomal protein S8	TX50_RS08275		
PMM0837	PMM0837	DUF4335 domain-containing protein	TX50_RS04480		
cobJ	PMM1525	precorrin-3B C(17)-methyltransferase	TX50_RS08175	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	Cofactor, Carrier, and Vitamin Biosynthesis
hli16	PMM0818	high light inducible protein Hli16	TX50_RS04380		
lnt	PMM1292	apolipoprotein N-acyltransferase	TX50_RS06930	lipoprotein posttranslational modification	Protein Modification
lon	PMM1506	Lon serine protease monomer	TX50_RS08080		
PMM0794	PMM0794	thioredoxin	TX50_RS04235	thioredoxin pathway // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III // assimilatory sulfate reduction IV	Cofactor, Carrier, and Vitamin Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Metabolic Clusters // Inorganic Nutrient Metabolism
surE	PMM1271	5'/3'-nucleotidase SurE	TX50_RS06830	UTP and CTP dephosphorylation I // inosine 5'-phosphate degradation	Nucleoside and Nucleotide Degradation
PMM1490	PMM1490	trypsin-like serine protease	TX50_RS08000		
miaE	PMM0388	Probable hydroxylase for synthesis of 2-methylthio-cis-ribozeatin in tRNA	TX50_RS02090		
ilvD	PMM0774	Dihydroxyacid dehydratase	TX50_RS04135	L-valine biosynthesis // superpathway of L-isoleucine biosynthesis I // superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine) // Entner-Doudoroff pathway I // Entner-Doudoroff shunt	Amino Acid Biosynthesis // Superpathways // Carbohydrate Degradation // Generation of Precursor Metabolites and Energy
PMM1253	PMM1253	methyltransferase domain-containing protein	TX50_RS06735		
PMM1474	PMM1474	J domain-containing protein	TX50_RS07920		
PMM0364	PMM0364	DUF3303 domain-containing protein	TX50_RS01935		
PMM0757	PMM0757	D-Ala-D-Ala dipeptidase	TX50_RS04050		
TX50_RS06605		EpsG family protein			
PMM1710	PMM1710	hypothetical protein	TX50_RS09130		
PMM1585	PMM1585	hypothetical protein	TX50_RS08485		
atpB	PMM1456	ATP synthase chain a	TX50_RS07830	ATP biosynthesis	Generation of Precursor Metabolites and Energy
frdD	PMM1420	fumarate reductase subunit D	TX50_RS07655	aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> // partial TCA cycle (obligate autotrophs)	Generation of Precursor Metabolites and Energy
PMM1400	PMM1400	Possible Hemagglutinin-neuraminidase	TX50_RS07530		
PMM0339	PMM0339	NAD(P)/FAD-dependent oxidoreductase	TX50_RS01795		
PMM1350	PMM1350	Pentapeptide repeats	TX50_RS07240		
PMM1238	PMM1238	hypothetical protein	TX50_RS06665		
petN	PMM0740	cytochrome b6-f complex subunit PetN	TX50_RS03970	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow // aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Superpathways // Generation of Precursor Metabolites and Energy
PMM1162	PMM1162	hypothetical protein	TX50_RS06265		
TX50_RS06035		hypothetical protein			
fcl	PMM1207	GDP-L-fucose synthase	TX50_RS06510	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	Carbohydrate Biosynthesis
PMM1041	PMM1041	hypothetical protein	TX50_RS05595		
PMM1937	PMM1937	hypothetical protein	TX50_RS05420		
atpD	PMM1438	ATP synthase beta subunit	TX50_RS07745	ATP biosynthesis	Generation of Precursor Metabolites and Energy
PMM0984	PMM0984	Possible Josephin	TX50_RS05245		
PMM0858	PMM0858	hypothetical protein	TX50_RS04585		
minD	PMM0321	septum site-determining protein MinD	TX50_RS01670		
PMM0809	PMM0809	Possible S1 RNA binding domain	TX50_RS04315		
PMM0732	PMM0732	Possible Major surface glycoprotein	TX50_RS03910		
pstS	PMM0710	periplasmic phosphate-binding protein	TX50_RS03790		
PMM0698	PMM0698	Possible DnaJ central domain (4 repeats)	TX50_RS03725		
PMM0655	PMM0655	hypothetical protein	TX50_RS03470		
rseP	PMM1189	RIP metalloprotease RseP	TX50_RS06415		
PMM0541	PMM0541	hypothetical protein	TX50_RS02895		
PMM0451	PMM0451	Possible Arenavirus glycoprotein	TX50_RS02425		
hli5	PMM1404	high light inducible protein Hli5	TX50_RS07555		
PMM0377	PMM0377	hypothetical protein	TX50_RS02005		
PMM1814	PMM1814	hypothetical protein	TX50_RS01790		
PMM0303	PMM0303	CCA tRNA nucleotidyltransferase	TX50_RS01565		
PMM0162	PMM0162	hypothetical protein	TX50_RS00845		
PMM0087	PMM0087	hypothetical protein	TX50_RS00460		
PMM0680	PMM0680	TPM domain-containing protein	TX50_RS03615		
TX50_RS09490		hypothetical protein			
TX50_RS09405		hypothetical protein			
PMM1168	PMM1168	methyltransferase domain-containing protein	TX50_RS06310		
PMM2019	PMM2019	hypothetical protein	TX50_RS08955		
PMM1567	PMM1567	phosphotransferase	TX50_RS08390		
PMM1382	PMM1382	fatty acid desaturase	TX50_RS07430		
PMM1418	PMM1418	voltage-gated chloride channel	TX50_RS07640		
PMM1393	PMM1393	Possible Carbon storage regulator	TX50_RS07490		
mutT	PMM0286	8-oxo-dGTP diphosphatase	TX50_RS01485	8-oxo-(d)GTP detoxification I	8-oxo-GTP and 8-oxo-dGTP Detoxification // Metabolic Clusters
PMM1320	PMM1320	hypothetical protein	TX50_RS07085		
PMM1225	PMM1225	hypothetical protein	TX50_RS06600		
prfC	PMM0663	peptide chain release factor 3	TX50_RS03530		
PMM1148	PMM1148	EF-1 guanine nucleotide exchange domain-containing protein	TX50_RS06185		
PMM1109	PMM1109	hypothetical protein	TX50_RS05945		
trxB	PMM1150	thioredoxin-disulfide reductase	TX50_RS06195	thioredoxin pathway	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1028	PMM1028	hypothetical protein	TX50_RS05530		
PMM1008	PMM1008	hypothetical protein	TX50_RS05390		
PMM1360	PMM1360	deoxyribodipyrimidine photo-lyase	TX50_RS07295		
PMM0983	PMM0983	Possible ATP synthase protein 8	TX50_RS05230	ATP biosynthesis	Generation of Precursor Metabolites and Energy
PMM0846	PMM0846	Possible Uncharacterized secreted proteins, Ya	TX50_RS04525		
CobS	PMM0270	adenosylcobinamide-GDP ribazoletransferase	TX50_RS01400	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP // 2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP // adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP // benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP // adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0793	PMM0793	hypothetical protein	TX50_RS04230		
PMM0722	PMM0722	hypothetical protein	TX50_RS03860		
metA	PMM0643	homoserine O-succinyltransferase	TX50_RS03410	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis // superpathway of L-homoserine and L-methionine biosynthesis // superpathway of L-methionine biosynthesis (transsulfuration) // L-methionine biosynthesis I // L-methionine biosynthesis III // L-homocysteine biosynthesis	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Biosynthesis
PMM0693	PMM0693	Possible Hepatitis C virus envelope glycoprote	TX50_RS03700		
PMM0641	PMM0641	hypothetical protein	TX50_RS03400		
PMM1123	PMM1123	hydantoin utilization protein	TX50_RS06025		
PMM0517	PMM0517	hypothetical protein	TX50_RS02775		
PMM0437	PMM0437	hypothetical protein	TX50_RS02355		
nblS	PMM1341	two-component sensor histidine kinase 4	TX50_RS07195		
PMM0369	PMM0369	Possible Ribosomal protein S14p/S29e	TX50_RS01965		
PMM0335	PMM0335	Possible NADH-PLASTOQUINONE OXIDOREDUCTASE CHAIN 5	TX50_RS01765		
psbN	PMM0252	photosystem II reaction center protein PsbN	TX50_RS01305	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM0139	PMM0139	hypothetical protein	TX50_RS00730		
PMM0066	PMM0066	hypothetical protein	TX50_RS00350		
PMM0620	PMM0620	DUF1350 domain-containing protein	TX50_RS03295		
PMM1952	PMM1952	hypothetical protein	TX50_RS09475		
PMM1803	PMM1803	Membrane protein	TX50_RS09390		
PMM1103	PMM1103	AAA family ATPase	TX50_RS05915		
PMM1800	PMM1800	hypothetical protein	TX50_RS09375		
PMM1667	PMM1667	hypothetical protein	TX50_RS08905		
PMM1324	PMM1324	ABC-type transporter, permease component	TX50_RS07110		
PMM1516	PMM1516	hypothetical protein	TX50_RS08130		
PMM2011	PMM2011	hypothetical protein	TX50_RS07600		
PMM0234	PMM0234	DNA-3-methyladenine glycosylase	TX50_RS01205		
PMM1989	PMM1989	hypothetical protein	TX50_RS07410		
PMM1307	PMM1307	hypothetical protein	TX50_RS07015		
PMM0604	PMM0604	DUF4336 domain-containing protein	TX50_RS03215		
PMM1194	PMM1194	hypothetical protein	TX50_RS06440		
PMM1962	PMM1962	hypothetical protein	TX50_RS06115		
PMM1084	PMM1084	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	TX50_RS05820		
PMM1086	PMM1086	alpha/beta hydrolase	TX50_RS05830		
TX50_RS05500		hypothetical protein			
PMM1303	PMM1303	FAD-binding oxidoreductase	TX50_RS06990		
PMM1003	PMM1003	Possible Photosystem II reaction centre N prot	TX50_RS05360		
PMM1919	PMM1919	hypothetical protein	TX50_RS05185		
hemB	PMM0215	porphobilinogen synthase	TX50_RS01110	tetrapyrrole biosynthesis I (from glutamate)	Tetrapyrrole Biosynthesis
PMM0820	PMM0820	putative 3-phosphoshikimate 1-carboxyvinyltransferase	TX50_RS04390	superpathway of aromatic amino acid biosynthesis // superpathway of L-tyrosine biosynthesis // superpathway of L-phenylalanine biosynthesis // superpathway of L-tryptophan biosynthesis // chorismate biosynthesis I // chorismate biosynthesis from 3-dehydroquinate	Superpathways // Amino Acid Biosynthesis // Aromatic Compound Biosynthesis
PMM0775	PMM0775	membrane protein	TX50_RS04140		
PMM0585	PMM0585	CocE/NonD family hydrolase	TX50_RS03120		
PMM1880	PMM1880	hypothetical protein	TX50_RS03845		
PMM0692	PMM0692	Possible DDT domain	TX50_RS03685		
gyrA	PMM1063	DNA gyrase A subunit	TX50_RS05710		
PMM0629	PMM0629	hypothetical protein	TX50_RS03340		
PMM0501	PMM0501	hypothetical protein	TX50_RS02695		
murG	PMM0197	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	TX50_RS01020	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	Superpathways // Cell Structure Biosynthesis
PMM1845	PMM1845	hypothetical protein	TX50_RS02175		
PMM0362	PMM0362	hypothetical protein	TX50_RS01920		
hli22	PMM0689	high light inducible protein Hli22	TX50_RS09275		
PMM1807	PMM1807	hypothetical protein	TX50_RS01575		
PMM0124	PMM0124	hypothetical protein	TX50_RS00650		
gorA	PMM0567	glutathione-disulfide reductase	TX50_RS03025	glutathione-peroxide redox reactions	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0056	PMM0056	hypothetical protein	TX50_RS00295		
PMM1922	PMM1922	hypothetical protein	TX50_RS09460		
PMM1044	PMM1044	ribokinase	TX50_RS05615		
PMM1005	PMM1005	Possible Legume lectins alpha domain	TX50_RS09315		
PMM1619	PMM1619	response regulator transcription factor 4	TX50_RS08660		
TX50_RS00935		peptide chain release factor 2			
PMM1462	PMM1462	hypothetical protein	TX50_RS07860		
PMM1410	PMM1410	lactose/cellobiose PTS transporter	TX50_RS07585		
PMM1708	PMM1708	DUF3134 domain-containing protein	TX50_RS09120		
PMM1374	PMM1374	Possible Type I restriction modification DNA s	TX50_RS07385		
PMM1282	PMM1282	hypothetical protein	TX50_RS06880		
rbcL	PMM0550	Ribulose 1,5-bisphosphate carboxylase large subunit	TX50_RS02940	oxygenic photosynthesis // Calvin-Benson-Bassham cycle // Rubisco shunt	Superpathways // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation // Carbohydrate Biosynthesis
PMM1173	PMM1173	hypothetical protein	TX50_RS06335		
PMM1959	PMM1959	hypothetical protein	TX50_RS06085		
PMM1015	PMM1015	MAPEG family protein	TX50_RS05435		
PMM1078	PMM1078	hypothetical protein	TX50_RS05790		
PMM1943	PMM1943	hypothetical protein	TX50_RS05485		
trpB	PMM0164	Tryptophan synthase beta chain	TX50_RS00855	superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	Superpathways // Amino Acid Biosynthesis
PMM1000	PMM1000	hypothetical protein	TX50_RS05335		
PMM0938	PMM0938	Possible Serine hydroxymethyltransferase	TX50_RS05000	superpathway of L-serine and glycine biosynthesis I // folate transformations III (<i>E. coli</i>) // folate polyglutamylation // glycine biosynthesis I	Superpathways // Amino Acid Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis
queC	PMM1691	7-cyano-7-deazaguanine synthase QueC	TX50_RS09030	preQ<sub>0</sub> biosynthesis	Secondary Metabolite Biosynthesis
PMM0814	PMM0814	Possible Cytochrome oxidase c subunit VIb	TX50_RS04350	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub>	Generation of Precursor Metabolites and Energy
PMM0738	PMM0738	hypothetical protein	TX50_RS03955		
PMM0531	PMM0531	creatininase family protein	TX50_RS02845		
TX50_RS03815		hypothetical protein			
PMM1865	PMM1865	hypothetical protein	TX50_RS03650		
PMM0985	PMM0985	phosphoribosyltransferase	TX50_RS05255		
PMM0622	PMM0622	hypothetical protein	TX50_RS03305		
PMM0485	PMM0485	hypothetical protein	TX50_RS02615		
PMM0146	PMM0146	DUF3172 domain-containing protein	TX50_RS00765		
PMM1843	PMM1843	hypothetical protein	TX50_RS02070		
PMM0351	PMM0351	Possible Small, acid-soluble spore proteins, a	TX50_RS01860		
rplI	PMM1673	50S ribosomal protein L9	TX50_RS08935		
PMM0248	PMM0248	hypothetical protein	TX50_RS01285		
PMM0117	PMM0117	hypothetical protein	TX50_RS00615		
lepB	PMM0513	signal peptidase I	TX50_RS02755		
PMM0038	PMM0038	PDDEXK_1 domain-containing protein	TX50_RS00205		
PMM0751	PMM0751	hypothetical protein	TX50_RS09440		
ureA	PMM0965	urease subunit gamma	TX50_RS05135	urea degradation II	Amine and Polyamine Degradation
PMM0685	PMM0685	hypothetical protein	TX50_RS09270		
PMM1602	PMM1602	hypothetical protein	TX50_RS08570		
rpaA	PMM0128	response regulator transcription factor 1	TX50_RS00675		
